,SRR9224203,SRR9224313,SRR9224321,SRR9224324,SRR9224187,SRR9224317,SRR9224138,SRR9224137,SRR9224136,SRR9224143,SRR9224142,SRR9224134c,SRR9224133,SRR9224566,SRR9224004,SRR9224005,SRR9224562,SRR9224563,SRR9224564,SRR9224565,SRR9224453,SRR9224452c,SRR9224454,SRR9224449,SRR9224448,SRR9224277,SRR9224275,SRR9224273,SRR9224274,SRR9224282,SRR9224283,SRR9224242,SRR9224241,SRR9224237,SRR9224236,SRR9224235,SRR9224234
SRR9224453,0.0006994004254598,0.0007605892962039,0.0007090995509206,0.0008745430533755,0.0006947401420273,0.0008016203465037,0.0009914438344714,0.0008563506372131,0.0007343006174526,0.0008592791969856,0.0007608422625909,0.001010490206934,0.0007607994193872,0.0007487680941273,0.0007123254893089,0.0007276485334352,0.0009231581775259,0.0008900116798388,0.0013183572845833,0.0012008187923831,0.0006387114962663,0.0006958055091266,0.0008987638405699,0.001045101562288,0.0007348449359327,0.0010506079257618,0.0010768773485861,0.000783869871409,0.0009610256150025,0.0007792436424665,0.0008139713417529,0.0009991001328659,0.0013939109932553,0.0010706753612426,0.000799553614966,0.0007916345870568,0.0009545990268327
SRR9224452c,0.000689800286177,0.0007502720898591,0.0006848056610819,0.0008393630961433,0.0006823444310986,0.0007870787152191,0.0009609651104466,0.0008345566964912,0.0007317525000909,0.0008211377685211,0.0007246397981237,0.0010241410795805,0.0007306065073006,0.0007141790641973,0.0006826856704981,0.0006920978221868,0.000864385605928,0.0008325528783452,0.0011640316626728,0.0011546745117552,0.0007398928788968,0.0006622455732227,0.0008695546003854,0.0009672497763859,0.0007040291168944,0.0009684886633745,0.0009971845948534,0.0007416469480135,0.0008847764344293,0.0007503925389111,0.0007717572678307,0.0009416977833256,0.0012540008626898,0.0009782219353634,0.0007700140049824,0.0007572200741739,0.0008799430131928
SRR9224454,0.00080801384635,0.0008832343882666,0.0008258072718185,0.0010008084817779,0.0008098536172189,0.0009184920817267,0.0011406097599797,0.0009596960061352,0.0008619543666588,0.0009585674865988,0.000855370088727,0.0011805559388084,0.0008810673388965,0.0008599907948233,0.0008165831948528,0.0008337906541332,0.0010853089702479,0.0010023986715248,0.0014787829134163,0.0014038154073867,0.0008969115857397,0.0008166586860286,0.0007910166143123,0.0011756985490866,0.0008356856710568,0.0011948341787369,0.0012665539687887,0.0009067011996926,0.0011006508700359,0.0009078855970936,0.0009306648255864,0.0011445965449233,0.0015906955853122,0.0011869545508692,0.0009080418955889,0.0009152677854112,0.0011134118125964
SRR9224449,0.0009008639406113,0.0009652154687848,0.0009143083954134,0.0011086253045469,0.0008864954863172,0.0010365222590475,0.0012491793039423,0.0010857186314093,0.0009643709381962,0.0011264886378183,0.0009784591415163,0.0013214383047407,0.000997949313573,0.0009810648337214,0.0009269161494475,0.0009358568597995,0.001218950864971,0.0011297679600271,0.0015960458373488,0.0015761770063341,0.0010308080738086,0.0009006151952463,0.0011606839818201,0.0008645873741171,0.0009304391315492,0.0013557780414244,0.0014026524489483,0.0010202373157604,0.0013189707322424,0.0009942497081159,0.0010268719998294,0.0013585316886448,0.0018759476084893,0.0013978655453849,0.001033593563089,0.0010504322882726,0.0012977426580353
SRR9224448,0.0006815666787911,0.0007418573752306,0.0006949458585071,0.0008375383280111,0.0006793449102901,0.0007795201547586,0.0009451219132762,0.0008048280658233,0.0007252355553327,0.000823873492874,0.0007297833501617,0.0009722931439839,0.0007339900303565,0.0007246261729673,0.0006942547265147,0.0006927952928489,0.0008752657791236,0.0008460643129673,0.0011966148812214,0.0011404403617079,0.0007536330241861,0.0006772199031163,0.0008588255196407,0.0009665126768456,0.0006233902321198,0.000956795319827,0.0010161829842248,0.0007415402938507,0.0008901993766733,0.0007477911347931,0.0007765134385968,0.0009370713540238,0.0012732937243691,0.0010041407731521,0.000756884653237,0.0007504024610427,0.0008960768118305
SRR9224277,0.000936169955724,0.0010201523137648,0.0009480704413152,0.001144980230178,0.0009365054164717,0.0010572823808653,0.0013709138319141,0.0011377743434887,0.0009777290967048,0.0011620602622683,0.0010356681533537,0.001503155196335,0.0009912017841332,0.0009926492096058,0.0009317658685156,0.0009401809110986,0.0012051384095839,0.0011897567721673,0.0016446433496487,0.0017194872185552,0.0010538816527512,0.0009164085529972,0.0012011366309941,0.0013847509881639,0.0009360577809124,0.0009052689521755,0.001413873282219,0.0010244874131235,0.0013063166501477,0.0010180472934055,0.001088929154282,0.0013646132108379,0.0017552146340623,0.0014075932416267,0.0010576793219561,0.0010513718652541,0.0012571571760133
SRR9224275,0.0009761587178895,0.0010855837549003,0.0009812637039889,0.0011848086415529,0.0009596458318596,0.0010945961044601,0.0014071284495925,0.0011815767913977,0.0010010169758596,0.0012066165949117,0.001069430858702,0.0015987430758724,0.0009740029696772,0.001028915307343,0.0009512222872502,0.0009516571208073,0.0012927019261503,0.0012174591262062,0.0017926568162209,0.0018168961533376,0.0010722112535617,0.0009396566166019,0.0012625709718989,0.0014160964375439,0.0009880084740387,0.0014011656246189,0.0008861493846084,0.0010720061276302,0.0013201373523106,0.0010452697882093,0.0011337404089597,0.001444207437885,0.0018095135157496,0.001464405203367,0.0010791422096302,0.001062605214792,0.0012776009922069
SRR9224273,0.0007048124631042,0.0007735076916585,0.0007106082580796,0.0008852947301023,0.0007005231533925,0.0008011180751949,0.0010161434929844,0.0008411656008153,0.0007433510676863,0.0008966912672709,0.0007743053210864,0.0010660885944094,0.0007646006224953,0.000760295515121,0.0007212424485148,0.0007286743359236,0.0009553474630102,0.0008888216451327,0.0012800933604935,0.0012008511412971,0.000788023709243,0.0007010658200221,0.0009140548734343,0.0010411435143259,0.0007269843155673,0.0010286510428802,0.0010828429387402,0.00064073061661,0.0009642598023898,0.0007894825986773,0.0008103399230146,0.0010240719357957,0.0013662974206585,0.0010570997905854,0.0007809845881429,0.0007876281209317,0.000942003418284
SRR9224274,0.0008635900037814,0.000946979550972,0.0008636981902567,0.001062168562807,0.0008374630421164,0.0009814144893191,0.0012413577065916,0.0010380115260734,0.0008847566336695,0.0010703143631564,0.0009304761520166,0.0013751943306902,0.0009055394805879,0.000905178104184,0.0008513839232241,0.0008579384595934,0.0011906192162417,0.0010696331417088,0.0016132786006334,0.0016031929532582,0.000952071145401,0.0008296439958507,0.0010918039131606,0.0013267880510372,0.0008639158460048,0.0012914112268832,0.0013144588760505,0.0009499725776284,0.0008024553603311,0.0009320531162171,0.0009843221227719,0.0013393304048358,0.001675388176753,0.0013381365438342,0.0009682224793406,0.0009391626046307,0.0011962623105029
SRR9224282,0.0007258298407924,0.0007853443340853,0.0007356762517363,0.0008832690172115,0.0007152501453074,0.0008276863500808,0.0010028486316804,0.0008703728201551,0.0007595467633303,0.0008842914102466,0.0007783623628814,0.0010982976888914,0.000769311982783,0.0007635474499459,0.0007241684717345,0.0007352259688389,0.0009394186977729,0.0008929168060696,0.0012668396201884,0.0012481010438505,0.0007930852854659,0.0007177832971402,0.0009267039855819,0.0010268242601241,0.0007430364220327,0.0010371825083078,0.0010713108726685,0.0008001146758025,0.0009568973692264,0.0006846222100874,0.0008197746823617,0.0010254120028727,0.0013193454365911,0.0010450806466532,0.0008026550957968,0.0007947044354651,0.0009581594572232
SRR9224283,0.0007404275778675,0.0007912351864836,0.0007420579782592,0.0009108886853157,0.0007391768214294,0.0008380728928962,0.0010408026234489,0.0008934189791365,0.0007839490548648,0.0009079857699696,0.0007857452156443,0.0010967944554289,0.000788177755262,0.0007959897787674,0.000751671713651,0.000758717045793,0.0009497784569241,0.0009224236794493,0.0013486425656746,0.0012574016392868,0.0008204019619536,0.0007309650876197,0.0009406549425711,0.0010511194504592,0.0007631768807823,0.0010965045430175,0.0011487396410417,0.0008120698560449,0.001001506363833,0.0008102388658349,0.0006850436077178,0.0010269704580544,0.0014245070704565,0.0011371985477077,0.0008216394868268,0.0008200014272905,0.0009852383072482
SRR9224242,0.000869849390456,0.0009615299642241,0.000890939689187,0.0011152184008487,0.0008765603823364,0.0010181263212821,0.0012431432897787,0.0010611977520428,0.0009455352620431,0.0011123239289689,0.0009606636781296,0.0013704786201453,0.0009749913341798,0.0009545863872841,0.0008886952659261,0.0009063794446114,0.0012174375007083,0.0011286805928998,0.0016301711977558,0.0016215518024885,0.0009920810640486,0.0008825993517354,0.0011362552591559,0.0013711342839665,0.0009075581968849,0.0013490597401905,0.0014404705036915,0.0010093656266999,0.0013407371722029,0.0009988027096643,0.0010091298752889,0.0008302177999925,0.001779206514837,0.0013698262902205,0.0010394849026814,0.0010346361366082,0.001272992258123
SRR9224241,0.0011913861589113,0.0012983065560595,0.0012047174696324,0.0014568025123334,0.0011966229066439,0.0013874018545865,0.00171850393155,0.0014236696756358,0.0012782745343563,0.001444656919326,0.0013285956565671,0.0019452603966606,0.001250029986406,0.0012935621955766,0.0011809695386557,0.0012065854943512,0.0015936267090374,0.0015574652736282,0.0021248891138081,0.0021423682800539,0.0013816649756413,0.0011798616614969,0.0015779476423209,0.0018851024057444,0.0012355988631319,0.0017296101752504,0.0018003206953043,0.0013456481760396,0.0016739183238536,0.001283613382503,0.0013973769431826,0.0017749294813288,0.0011399884027413,0.0018109359160069,0.0013315439205547,0.0013431920114556,0.001590822480401
SRR9224237,0.0009219334538487,0.0010048925575971,0.0009468000537419,0.0011418406509709,0.0009205162500421,0.0010774880921255,0.0013201440708917,0.0011324566174726,0.0009889172625247,0.0011592470022354,0.0010070009093455,0.0014331339995797,0.0009897263178047,0.0010042383402864,0.000937027486209,0.0009375255687907,0.0012951616352334,0.0012292531321345,0.0016964251067594,0.0017120507216962,0.0010634784995852,0.0009184534599763,0.0011832734260153,0.0014104433607458,0.0009736528762826,0.0013925580407072,0.0014618497306917,0.0010437152596971,0.0013424292331862,0.001016231966393,0.001117839421588,0.0013714767120287,0.0018220616900978,0.0008889767412154,0.001064375945276,0.0010628306923553,0.0012553149127625
SRR9224236,0.0007363366132695,0.0008101291333581,0.0007320810684492,0.0009039713458036,0.0007352343543809,0.0008262984740064,0.0010549330888207,0.0008912541994493,0.0007797071871802,0.0008895759294959,0.0007872682841416,0.0011359390117403,0.0007910419337795,0.0007810498652735,0.0007336011508529,0.0007473153843458,0.0009582504985324,0.0009103572411584,0.0012913323550422,0.0012981507515479,0.0008157517808457,0.0007380764991622,0.0009286366541046,0.0010689995949346,0.0007526123359591,0.0010783064612954,0.0011081941692195,0.0007912323996894,0.000998289149991,0.0008035215335841,0.0008315146488855,0.0010722198968903,0.0013752585739769,0.0010949300778784,0.0007156800813464,0.0008246770453795,0.0009636010181362
SRR9224235,0.0007314724186528,0.0007920932854583,0.0007403349928273,0.0008939781502998,0.000732306020518,0.0008359493592922,0.0010616511032406,0.0008953760274604,0.0007834766103113,0.0008941036093277,0.000779513313629,0.001104765717084,0.0007833850831602,0.0007687412642794,0.0007305770995775,0.0007337578841815,0.0009714156663023,0.0009273548117653,0.0013412678617701,0.0012693668131658,0.0008081283770324,0.0007266801449106,0.0009365106240944,0.0010867343889955,0.0007466323223381,0.0010726983175473,0.0010918801227747,0.0007989198324816,0.0009677223432233,0.0007968569843249,0.0008309936269961,0.0010671249847372,0.0013877355130937,0.0010934807670371,0.0008258393613339,0.0006967764458239,0.0009570782329206
SRR9224234,0.0008266521852075,0.000913136786225,0.0008361186146186,0.0010210420287965,0.0008242860403482,0.0009603702157035,0.0012263586520229,0.0010240243079004,0.0008873499932676,0.0010422719733611,0.0009143923147013,0.0012945183419467,0.0008769648982049,0.0008869252317326,0.0008367682294461,0.0008375827882476,0.0011517879077284,0.0010848697339134,0.0016272963296204,0.0015608221633183,0.0009504278173523,0.0008248044321211,0.0011079237209054,0.0013083221395707,0.0008703806639993,0.001247352206515,0.0012773851331803,0.0009315141644335,0.0012009200518252,0.00093490595981,0.0009707578551331,0.0012766596229696,0.0016016289885308,0.0012571376037339,0.000937487419194,0.0009303437758096,0.0007889294349212
