,SRR9224203,SRR9224313,SRR9224314,SRR9224321,SRR9224184,SRR9224323,SRR9224325,SRR9224327,SRR9224187,SRR9224318,SRR9224317,SRR9224139,SRR9224138,SRR9224143,SRR9224134c,SRR9224566,SRR9224006,SRR9224562,SRR9224563,SRR9224564,SRR9224560,SRR9224452c,SRR9224454,SRR9224449,SRR9224448,SRR9224451,SRR9224450,SRR9224457,SRR9224456,SRR9224279,SRR9224277,SRR9224276,SRR9224273,SRR9224283,SRR9224242,SRR9224238,SRR9224236,SRR9224235,SRR9224234
SRR9224560,0.00047930751934491006,0.0004909056090961854,0.0004768190414478927,0.0005037874978433247,0.00047841694741853095,0.0004759731805506659,0.0004762260627460277,0.0005032078966614267,0.0005139984181793384,0.0005383365849669861,0.0004982305083832409,0.0004883095221381542,0.0004946719245001335,0.00048732946035453774,0.0004988561062414152,0.0004898962709661088,0.0005102583550400837,0.0005017456753428368,0.00047175836524698426,0.00047835674259356253,0.00048016210511336437,0.0004908881511245465,0.0004901620947974434,0.0004961669185080751,0.0005015657491798252,0.00048098255171886414,0.0004774386334471254,0.0004772704510998872,0.000480218017945759,0.00046131677976790186,0.0004750899463830597,0.0004670559213235342,0.00045453415279442266,0.00047293395207516386,0.0004738306772947917,0.0005019045053381633,0.0005056934895351959,0.00046206901974187313,0.0004928111643391924
SRR9224452c,0.0005103374425401703,0.0005450810805327756,0.0004913071394605421,0.0005543137746258438,0.00048951231514739,0.0005191470480497315,0.0004929152778846412,0.0005192985027257883,0.00057423965715363,0.0006032674147913289,0.0005195392566784487,0.0005033718110291738,0.0005339148175106201,0.0005188787904606845,0.0005387825657712554,0.0005100661535410657,0.0005229396239826673,0.0005171361942022561,0.00048434583984006995,0.00048739155487038846,0.0004909417504311484,0.0005515456709383409,0.0005081988337184802,0.0005062151720193009,0.0005244506322681315,0.0004942612020753352,0.0004880238668349509,0.0004893868110319037,0.0004882935511647156,0.00047480083886382025,0.000477085809566653,0.00048535493809759067,0.0004750289553759977,0.0004898316727140105,0.00047982642947012703,0.0005169348822001723,0.0005537013229056889,0.0005065338319948421,0.0005274641331254347
SRR9224454,0.0004883947085470549,0.0004757043120884882,0.00048067863602776177,0.0005276883649732801,0.00048481862925891394,0.0004863470808769568,0.00047893551975472607,0.0005186533289196782,0.0005358733105630878,0.0005591911327874472,0.0005035051115402077,0.0004921146976180202,0.0005139677218541302,0.0004983314536950843,0.0005015899544953543,0.0005148745789798768,0.0005314290828691095,0.0005237930878323465,0.0004896411356891252,0.0004888734975879403,0.00046862601900439797,0.0004863424341373722,0.0004753866183487988,0.0005084063777812271,0.000523033663949027,0.000496272454420381,0.0004841277234569304,0.0004833645009033095,0.0004740937151846834,0.00047031433579671487,0.00046064635722912046,0.0004802760986167182,0.00047836139423664356,0.0004857360404535964,0.0004706518951026945,0.0004857469511169802,0.0005338981384797146,0.00047609359002736255,0.0005102890577141098
SRR9224449,0.0005050398101193084,0.00048183608666393934,0.000486970393533884,0.0005345111646121754,0.0004969193765600311,0.0005042973712870308,0.0004928335529194381,0.0005255496727033848,0.0005501685009163674,0.0005737719903596039,0.0005189434516105749,0.0005067069863241454,0.000520802474949227,0.0005123387099327982,0.0005088148731194979,0.0005321743572889087,0.0005474369967581693,0.0005334411438793667,0.0005028052741688976,0.0005040990843239305,0.0004830581808870534,0.000493145665572832,0.0005185876490131843,0.0004996530756893812,0.0005392446773283498,0.0005083133422656502,0.0005007010346504671,0.0004954991690942802,0.0004902493256879443,0.000482868999605357,0.00047439632850768745,0.0004893175024007691,0.0004853684163168679,0.0004966389044876425,0.00048525937654273236,0.0004998100197076837,0.0005443304851729659,0.0004928938922035496,0.0005259089251571559
SRR9224448,0.00048284618607879597,0.00047069913800158633,0.0004698279697642567,0.0005369348387290762,0.0004837805381732193,0.00048758813632419554,0.00047798077888006513,0.0005096641502656471,0.0005435127188970596,0.000569752947214062,0.0005045274146972506,0.00048113028358660366,0.0005042751509056497,0.0005010540338021008,0.0005033558640128285,0.000517691431007211,0.0005417021238413333,0.000527814219932645,0.000492272973605437,0.000481632326985373,0.00046083187881209014,0.00048213556960813655,0.0005013398506155284,0.0005065416066295314,0.00048121102154236283,0.0004954049554701006,0.0004789589902568677,0.00048120575810689444,0.00046942771602358625,0.0004659516969827319,0.00045351011562037434,0.00047812338027891285,0.00046732658520468707,0.0004888422971670518,0.00046705446820674335,0.0004899902086601576,0.0005426094116151211,0.0004813387398032764,0.0005092710366001799
SRR9224451,0.0004760986903024374,0.00045128762434098134,0.0004560905962072342,0.0005008568170699018,0.0004665451730659013,0.00047349855296451287,0.00046310535087641495,0.0004914912131603949,0.0005113757727653617,0.0005252640629305704,0.00048530619282839503,0.00047344624958111747,0.0004911482114558474,0.0004821317774211889,0.00048290186643889805,0.0005016429249240346,0.0005173737236524189,0.0005015404797913762,0.0004723398104104053,0.0004703580232795611,0.00045209089652613403,0.00046506372384925895,0.0004872638492646048,0.0004897833683682573,0.0005076207081889847,0.0004445475120657123,0.00047017718827932524,0.00047123830231275693,0.0004597458014318649,0.00045316301421906947,0.00044737801802365447,0.0004629594442986262,0.00045702558245119747,0.00047453504062492936,0.00045355470219679756,0.0004676966172297626,0.0004994850778803854,0.00045813746116781017,0.0004944165070431074
SRR9224450,0.0004744329296693385,0.00046165004061037045,0.00046261938115240895,0.0005027370920203241,0.00046894415739668683,0.00047428618318590517,0.0004677294807998175,0.0004967474785522797,0.000514933351029742,0.0005289453227701519,0.0004918080421256956,0.0004815988106383336,0.0004922767659568527,0.0004829910153305853,0.00048398090677416033,0.0004918981176115979,0.0005122661482858412,0.0004950430244233808,0.00046671950264536976,0.00047285449813342685,0.00045968416539227726,0.0004699729262751135,0.0004875237271763973,0.0004951243917404833,0.0005033531281713823,0.0004822295258734507,0.000450784038717015,0.00047441218115690763,0.00046697536278329294,0.0004592561642504954,0.0004536664847692376,0.00046103594070988954,0.0004502910327915531,0.00047076332179895117,0.00046368460143684625,0.0004827307837108782,0.0005118062007091943,0.00046409583658405635,0.0004969486202905218
SRR9224457,0.0004914125904167454,0.0004711984129921783,0.000472650467923058,0.0005144747698764933,0.00047863298763509024,0.0004839212119998084,0.0004751302309439759,0.0005053233669361718,0.0005262078838097836,0.0005422824888410509,0.0005001843995989442,0.0004882669916849901,0.0005023398485070412,0.0004946705510384755,0.0004955980345751184,0.00050360569501103,0.0005144416984930788,0.0005116334660323402,0.0004806858003337439,0.00048281790057530354,0.00046754868911999737,0.0004800911349250204,0.0004959646708608765,0.0004987102396657409,0.0005144262093940907,0.0004920790293151861,0.0004833412031043892,0.0004625695558100372,0.0004727203281907098,0.0004652542988460252,0.0004618884021439077,0.0004686197951303722,0.00046081615363083485,0.000476885664043926,0.00046775745766388266,0.0004880049450324879,0.0005156817781358546,0.000466539943172172,0.0005011853705810384
SRR9224456,0.00048512147545590276,0.00048296108925217673,0.000475090080438101,0.0005043390230761439,0.00047363767282737466,0.00048289669556590394,0.0004716702951747626,0.00050218972050382,0.0005215586816984092,0.0005433656393644989,0.0004994299660859441,0.0004899116242470014,0.0004952745508508265,0.0004884624888411992,0.0004954175294136606,0.0004967466849985399,0.0005122664727608912,0.0005044631953192465,0.0004725105537708638,0.0004817411147805404,0.00047696461132913203,0.00048490647183453104,0.0004923998833531983,0.0005002329932119445,0.000507071302877925,0.00048574907058518033,0.00048147896717509476,0.00047930518477155203,0.0004734093724653016,0.0004653140665937223,0.00046540819101385935,0.00047122874055121645,0.00046090784175855656,0.000475273225782355,0.00047416408612058794,0.0004943300993882333,0.0005148801951815824,0.00047053313715992277,0.0004947315475156562
SRR9224279,0.00046963329759597543,0.00045719236030444246,0.0004580042339083456,0.0004952931964942078,0.0004587146385170659,0.00046806356024915686,0.0004585179532580972,0.0004911347344048661,0.0005072543381462266,0.0005266608134522581,0.00048612154694434957,0.0004743799831298355,0.0004892256391223804,0.0004762896858389565,0.0004826201635137866,0.00048547500682364383,0.0005028874259072492,0.0004964911831828553,0.00046478779000577324,0.00047010410740063396,0.0004530343040084418,0.00046611014301254044,0.0004839304688185976,0.00048713094371640294,0.0004985369642024172,0.0004741480091691111,0.00046901645528139613,0.000466175985993822,0.00046021905988830525,0.000436797546920149,0.0004510633424853321,0.0004555970823201783,0.00044658172021537425,0.0004651514624977128,0.00045383605968151553,0.00047500001414942046,0.0005065270070181504,0.0004534070749257121,0.0004878348418092012
SRR9224277,0.0004749076008873574,0.0004885472445873286,0.0004714555545111489,0.0004943520480038683,0.0004730628501927949,0.0004737511867238536,0.0004633741167779246,0.0004931495374148485,0.0005051441698412442,0.0005129268651011661,0.0004899238904853981,0.0004846070087045254,0.00048742601171527036,0.00047713674229776765,0.0004861733481303004,0.00048478405659685436,0.0005060404452975155,0.000494221465860817,0.00046429397374832975,0.0004763478570759174,0.00047891735005814494,0.00048104182297966595,0.00048493420548818454,0.000490375709549807,0.0004956803834581478,0.00047873138725836533,0.00047413780545975756,0.0004744398267828502,0.0004721834255522415,0.0004624687289313895,0.0004748397555587596,0.00045726453836945853,0.0004476115911233517,0.0004631021540045291,0.0004681142759358951,0.0005094338408781213,0.0004964910832318561,0.0004558919094318523,0.00048551948943763014
SRR9224276,0.00046719623489629075,0.00046389271623904765,0.0004545814119574863,0.0005129156007875789,0.0004583744238112482,0.0004722868512207513,0.0004587291922644215,0.0004928207273088765,0.0005188517411691516,0.0005398074654534331,0.00048215537821714045,0.0004726488968541508,0.0004920599806147497,0.0004763827546384661,0.0004926742895408894,0.0004842270645562554,0.0004965927665323774,0.000486844292148626,0.0004596553288706891,0.0004581951664626663,0.00044867445291403503,0.00046592212451467485,0.0004821415203730005,0.0004816782382770137,0.0005002975579282907,0.000472822131482265,0.00045935788590849107,0.0004582202121892893,0.00045528628445020087,0.0004447886243487547,0.00043570421387354786,0.00043875358514406743,0.0004417048542326408,0.0004604280934645596,0.0004456998631935163,0.0004660431012614188,0.0005159511749445912,0.0004529762945546293,0.00047262599166562566
SRR9224273,0.00046036876292740545,0.00044384985559072697,0.00044286717620580505,0.0004960846872306404,0.0004462474301833594,0.000454130729026666,0.00044372940835797284,0.00048091767138296607,0.0005021535654276593,0.0005231184398144364,0.0004768145356410564,0.0004589719207743142,0.0004762922623637128,0.0004654081554329147,0.0004712885262093699,0.0004816942278681973,0.0004959328523869193,0.00048434027978484274,0.00045523041579564205,0.0004565391299899703,0.00043278113572255275,0.0004532787341108274,0.00047657498709042514,0.00047381769678693394,0.00048550185591086925,0.00046295844152661374,0.00044457713195480264,0.0004470740435930008,0.0004422699034493948,0.00043266373868162695,0.0004231083322354121,0.0004381285085807264,0.00041187974857969436,0.0004502499318789452,0.00043696929614588196,0.00045344672465560124,0.0004966957741087769,0.00044244085329006474,0.00047977665886294587
