,SRR9224432,SRR9224402,SRR9224395,SRR9224396,SRR9224393,SRR9224394,SRR9224399,SRR9224400,SRR9224397,SRR9224398,SRR9224391,SRR9224482,SRR9224481,SRR9224480,SRR9224479,SRR9224486,SRR9224485,SRR9224484,SRR9224483,SRR9224489,SRR9224094,SRR9224095,SRR9224096,SRR9224089,SRR9224090,SRR9224091,SRR9224092,SRR9224174,SRR9224176,SRR9224183,SRR9224307,SRR9224308,SRR9224304,SRR9224309,SRR9224310,SRR9224419,SRR9224418,SRR9224417,SRR9224416
SRR9224094,0.0055465769884381,0.0055317461777243,0.005596548888873,0.0055727903249509,0.005118383698078,0.0050759271264638,0.0050394385864437,0.0049616497803173,0.00502884692884,0.0053646962661847,0.0053379740220744,0.0054569670337717,0.00500867545543,0.0050362942768521,0.0047807830737571,0.0046777953171505,0.0049104649935972,0.0046374475597946,0.00497488687396,0.0048922994640455,0.0044117383223824,0.0047021142265284,0.0047463542209952,0.0047160649689959,0.0050788337675198,0.0049823028246605,0.0049432913264495,0.0056267269134255,0.0049975762814512,0.0050682565540696,0.0055481102284442,0.0054606455385475,0.0054792470379753,0.0055220057726783,0.0055485154257639,0.0054361026234939,0.0053645849546661,0.0052247161963185,0.005607594184636
SRR9224095,0.0055848522915256,0.0055720243234627,0.0056208902441438,0.0056031147759762,0.0051522609287584,0.0051211505072688,0.0050738861225402,0.005015149092812,0.005092295980145,0.005388220096538,0.0053638714032795,0.0055012966322881,0.005051352716027,0.0051089914954331,0.0048412056837233,0.0047328293176742,0.0049717183588092,0.0047172466382138,0.005019459722602,0.0049493704857191,0.0048086688744578,0.0045111046904873,0.0048287379049696,0.0047877838579325,0.005160443420445,0.0050443331601732,0.0050098869348254,0.0056294840834218,0.0050566875158818,0.0051249277803073,0.0055900039338091,0.0055042199316062,0.005509781360788,0.0055418284544173,0.0055883445160893,0.0054781731232866,0.005406601373328,0.0052631026128401,0.0056373478621329
SRR9224096,0.0054840602376802,0.0054865560506543,0.0055486869951887,0.0054998375801834,0.0050543483928532,0.0050244411825822,0.0049796496225411,0.0048775109559884,0.0049372713566985,0.0053005969927091,0.0052887930578062,0.0053887124168463,0.0049184333066126,0.004948384012747,0.0046939397121169,0.0045827498134371,0.0048267025544028,0.0045323623963822,0.0049067365590033,0.004816496458105,0.0046336234197512,0.0046111961089545,0.0042314637247631,0.0046005585739093,0.0050050684438582,0.0048955251954505,0.0048605865750304,0.005567596564113,0.0049183885113321,0.0049809828427061,0.0055125836093999,0.0054279700316386,0.0054119099905665,0.0054772108465061,0.0055104028050564,0.0053655344505943,0.0053115206458133,0.0051652952884608,0.0055656425096404
SRR9224089,0.005513719039035,0.0054927105481961,0.0055681905887023,0.0055286596006532,0.0050616706171152,0.0050275630836939,0.0049979153422508,0.0048779747593489,0.0049458529229578,0.0053212791156914,0.005300552476056,0.0054305586020263,0.004924320435785,0.0049538423313677,0.0046813947258544,0.0045931364184957,0.0048299667363967,0.0045355628292336,0.0049141236477663,0.0048307254260209,0.0046517419612786,0.0046191691099358,0.0046479043794812,0.0042422153751806,0.0049920129745956,0.0048884487420972,0.0048465085990534,0.0055887515382782,0.0049227839997377,0.0049753632404971,0.0055382992577194,0.0054265647964761,0.0054233590365746,0.0054824794809235,0.0055316753953088,0.0053833025139062,0.0053152092563781,0.0051788937204487,0.0056068800072607
SRR9224090,0.0054948245736112,0.0054944785149971,0.0055531485280802,0.0055300564358064,0.0051386409860841,0.0050982895367455,0.0050511242708517,0.0049510236835892,0.0050141083040953,0.005325438377535,0.0053259176937081,0.0054353209275362,0.0050200738632694,0.0050224142934034,0.0047955808279907,0.0046867037749158,0.004918113338675,0.0046539688054554,0.0049863075253018,0.00491180710048,0.0047433499198321,0.0047192009334431,0.0047844604128352,0.0047255156904895,0.0044098364517214,0.0049943764280373,0.0049824676553828,0.0055940112791974,0.0050303443504657,0.0050646055358056,0.0055309549852244,0.0054854250343257,0.0054459856453263,0.0055002294377434,0.0055010808281839,0.0054321174364092,0.005341263949076,0.0052306031372434,0.0055767292357678
SRR9224091,0.0054598961881007,0.0055196017529008,0.0055372714693714,0.0054757216571251,0.0050869338433699,0.0050331060365868,0.0050190907969863,0.0049043009059706,0.004975000000051,0.0052925947545966,0.0052783995513092,0.0053863856304712,0.00495721731872,0.00499269814703,0.0047281043429532,0.0046282181377255,0.0048488565188078,0.0045804149301592,0.0049131719964812,0.0048504466664798,0.0046912664173065,0.0046506816364744,0.0047193167935213,0.0046645151878846,0.0050398213373066,0.0043277089005952,0.004889723846529,0.0055591155769162,0.004953602776244,0.0050122818158989,0.0055438568458033,0.0054170863213478,0.0054002918261468,0.0054449471505371,0.0054887240960329,0.0053660499891175,0.0052725299604226,0.0051676848412596,0.005538047523612
SRR9224092,0.0055281000852427,0.0055351222231195,0.0055842750404587,0.0055638614472097,0.0051198749742915,0.0050823430557675,0.0050446934312931,0.0049722485159004,0.0050430689890029,0.0053452859942286,0.0053549391676053,0.0054299550704979,0.0050057868502543,0.0050481158344696,0.0047993264562147,0.0046884607553757,0.0049081065495515,0.0046588137501435,0.0049871784641422,0.0048961083625589,0.004758930532607,0.004719948789326,0.0047914828727896,0.0047297728307718,0.0051392815952283,0.0050005458625371,0.0043876636473714,0.0055613293627341,0.0050094004024614,0.0050554415198835,0.0055298793458396,0.0054376712424497,0.005450193692468,0.005469994765745,0.0055364182524318,0.0054028241869879,0.0053193227677856,0.0051958175763875,0.0055590209481258
SRR9224174,0.0057695346698336,0.0057512542154493,0.0057614520883868,0.0058389519496959,0.0054059950321985,0.0053787172835434,0.0053436108353222,0.0053760254995367,0.0054344235462183,0.0055387937793166,0.0055455367022908,0.0056781645168798,0.0053912920178039,0.005458277537406,0.0052319727162529,0.0051345445854848,0.00529976780575,0.0051365639488033,0.0053063536270188,0.0052849514389488,0.0052241114971813,0.0051190241906164,0.0052844260814969,0.0052569925847527,0.0055593152832043,0.0054732114563888,0.0053524158008865,0.0048171973061193,0.0053664219303774,0.0054101074106259,0.0055892733132749,0.0056036164111866,0.0055865600906067,0.0055198142138776,0.0056550312997871,0.0055885411778821,0.0055293385810894,0.0054289592775426,0.005518547221806
SRR9224176,0.0055189267805696,0.0055065753848924,0.0055680959696445,0.0055275413727202,0.0051112997875183,0.0051016279664899,0.0050579978693791,0.0049832373924043,0.0050469632110459,0.0053343657397954,0.0053179284146327,0.0054539850673342,0.0049916115886688,0.005055752709043,0.0047985230175332,0.0046883594357953,0.004922311051836,0.0046724355140973,0.0049657286268973,0.0049128376317618,0.0047531713162544,0.0047080250485102,0.004788310426437,0.0047455401468776,0.0051237382603177,0.0050008136182111,0.0049466825355976,0.0055067561637748,0.0043387111249568,0.0050540675583814,0.005484554706679,0.0053819701736165,0.0053858936004944,0.0054196311319536,0.0054576669514352,0.0053604705654391,0.0052814639909142,0.0051668236838503,0.005497732932139
SRR9224183,0.0055748984530957,0.0055597231444488,0.0056231983662878,0.0056114866082043,0.0051611300901564,0.0051335105870046,0.0050935283786287,0.0050292391138795,0.0050985200592501,0.0053711335567237,0.0053802267659655,0.0054828868494776,0.0050667276776568,0.0050987502137696,0.0048663555774242,0.0047518862908278,0.0049720402302016,0.0047286403648768,0.0050352648422364,0.0049541852720364,0.0048286382024873,0.0047783007385224,0.0048567732303617,0.0048023613593801,0.0051671860725181,0.0050707851504368,0.0049994266643667,0.0055618444616889,0.0050611904486374,0.0044169411092692,0.0055280943924408,0.0054552096822885,0.0054361731868672,0.0054824874049855,0.00552325044222,0.0054154922121503,0.0053641228537151,0.0052077777148334,0.0055253625324485
SRR9224307,0.0056928483523658,0.0057223181444139,0.0056762728576541,0.0057834533396649,0.0053411604334161,0.0053176186430383,0.0052724715936747,0.0053272939995191,0.0053976422337048,0.0054810822114432,0.00547475466356,0.0055798988713186,0.0052867665483728,0.0053546503794177,0.0051689572015789,0.0050485508396687,0.0052108876495695,0.0050584646727298,0.0052533788641143,0.0052099133164879,0.0051210670636385,0.0050545198985559,0.0052055365735617,0.0051809851772683,0.005464604706084,0.0054259545000052,0.0052913991023085,0.0055536874491007,0.0053119009693397,0.0053466878940534,0.0047659318298062,0.0055337103760257,0.0055331183313342,0.0054664940674262,0.0055423249446586,0.0054994878599595,0.0055075367114329,0.0053448484141865,0.0054977769513874
SRR9224308,0.0056669998967703,0.0056533850034923,0.0056921318263655,0.0057211765099738,0.0053166408926231,0.0052831063466644,0.0052574520167822,0.0052490024515166,0.0053434486486835,0.005462756441552,0.0054560761556922,0.0055659298066099,0.0052407077027162,0.0053148940945195,0.0050869371540171,0.0049837478488468,0.0051761083495204,0.004989873858534,0.0051980363355876,0.0051412236429421,0.0050555305357397,0.00499193251658,0.0051386437261518,0.0050873725242356,0.0054344552869986,0.0053182355280354,0.0052174043610044,0.005584798830459,0.0052291911331916,0.0052893309030486,0.0055486672906064,0.0046916671223121,0.0054748924473229,0.0055363643317777,0.005526509036204,0.0054389801252557,0.0054708583125857,0.0052936091429704,0.0055155034240435
SRR9224304,0.0056738541083432,0.0056933724013505,0.0056758759939105,0.0057519028875036,0.0053330844394023,0.0052929633641788,0.005243835045214,0.0052147095353598,0.0053072586434974,0.0054732181536021,0.0054656674624748,0.0055533231195608,0.00523423392132,0.0053092024496392,0.0050908732198958,0.0049841171731977,0.0051690722220028,0.0049776241584071,0.0052303264966842,0.0051412268750137,0.0050570890580421,0.0049813339189987,0.00511007818541,0.0050684998026009,0.0053806042667542,0.0052829467298822,0.0052142330166236,0.0055455397389513,0.005218440651851,0.005257071741156,0.0055307422783226,0.0054551400119969,0.0046466662952032,0.005401510229883,0.005431019091382,0.0054367925020434,0.0054527428447998,0.0052983786183331,0.0054562472575689
